English word, Blackfoot translation 
water,aohkii 
fish,mamii
oranges,aotahkoinammiksi
apples,aipasstaamiinammiksi
fries,paataakistsi
burger,pikkiaaksin
dessert,pisatsoyiikan
bread,napayin
tea,siksikimmii
coffee,iitapsiksikimmii
